Timestamp,Data
2023-02-11 23:34:56,1.04
Timestamp,Data
2023-02-11 23:34:57,1.04
Timestamp,Data
2023-02-11 23:34:57,1.04
Timestamp,Data
2023-02-11 23:34:59,1.04
Timestamp,Data
2023-02-11 23:35:25,1.04
2023-02-11 23:43:28,1.06
2023-02-11 23:44:54,1.06
2023-02-11 23:45:41,1.05
2023-02-11 23:45:53,1.05
2023-02-11 23:50:31,1.05
2023-02-11 23:55:21,1.05
2023-02-12 00:00:21,1.03
2023-02-12 00:05:27,1.04
2023-02-12 00:10:19,0.99
2023-02-12 00:15:20,1.01
2023-02-12 00:20:18,1.0
2023-02-12 00:25:19,1.0
2023-02-12 00:30:18,1.0
2023-02-12 00:35:18,1.0
2023-02-12 00:40:17,1.01
2023-02-12 00:45:17,1.02
2023-02-12 00:50:19,1.02
2023-02-12 00:55:18,1.02
2023-02-12 01:00:20,1.02
2023-02-12 01:05:18,1.03
2023-02-12 01:10:18,1.04
2023-02-12 01:15:18,1.04
2023-02-12 01:20:18,1.03
2023-02-12 01:33:01,1.04
2023-02-12 01:40:13,0.91
2023-02-12 01:52:50,0.48
2023-02-12 01:55:26,0.42
2023-02-12 02:00:20,0.17
2023-02-12 02:05:21,0.0001
2023-02-11 18:10:24.957729,0.0
2023-02-11 18:15:19.708011,0.0
2023-02-11 23:11:15,1.03
2023-02-11 23:13:17,1.04
2023-02-11 23:15:20,1.04
2023-02-11 23:17:31,0.99
2023-02-11 23:19:32,1.04
2023-02-11 23:21:34,1.03
2023-02-11 23:23:37,1.04
2023-02-11 23:25:38,1.04
2023-02-11 23:27:41,1.04
2023-02-11 23:29:43,1.04
2023-02-11 23:31:47,1.04
2023-02-11 23:33:48,1.04
2023-02-11 23:35:51,1.04
2023-02-11 23:37:55,1.04
2023-02-11 23:40:00,1.04
2023-02-11 23:42:03,1.05
2023-02-11 23:44:09,1.06
2023-02-11 23:46:11,1.06
2023-02-11 23:48:28,1.05
2023-02-11 23:50:30,1.05
2023-02-11 23:52:41,1.03
2023-02-11 23:54:45,1.05
2023-02-11 23:56:49,1.05
2023-02-11 23:58:51,1.04
2023-02-12 00:00:53,1.04
2023-02-12 00:02:56,1.04
2023-02-12 00:05:00,1.04
2023-02-12 00:07:09,1.04
2023-02-12 00:09:11,1.02
2023-02-12 00:11:13,1.02
2023-02-12 00:13:15,1.0
2023-02-12 00:15:19,1.01
2023-02-12 00:17:21,1.0
2023-02-12 00:19:22,1.0
2023-02-12 00:21:25,1.0
2023-02-12 00:23:28,1.0
2023-02-12 00:25:30,1.0
2023-02-12 00:27:34,1.0
2023-02-12 00:29:37,1.0
2023-02-12 00:31:41,1.0
2023-02-12 00:33:44,1.0
2023-02-12 00:35:50,1.0
2023-02-12 00:37:52,1.01
2023-02-12 00:39:54,1.01
2023-02-12 00:41:58,1.01
2023-02-12 00:43:59,1.02
2023-02-12 00:46:01,1.02
2023-02-12 00:48:05,1.02
2023-02-12 00:50:10,1.02
2023-02-12 00:52:13,1.02
2023-02-12 00:54:17,1.02
2023-02-12 00:56:21,1.02
2023-02-12 00:58:25,1.03
2023-02-12 01:00:28,1.02
2023-02-12 01:02:33,1.03
2023-02-12 01:04:37,1.03
2023-02-12 01:06:41,1.03
2023-02-12 01:08:45,1.04
2023-02-12 01:10:49,1.04
2023-02-12 01:12:53,1.04
2023-02-12 01:14:57,1.04
2023-02-12 01:17:00,1.04
2023-02-12 01:19:05,1.03
2023-02-12 01:21:08,1.03
2023-02-12 01:23:20,1.04
2023-02-12 01:25:31,1.04
2023-02-12 01:27:42,1.02
2023-02-12 01:29:52,1.03
2023-02-12 01:32:05,1.03
2023-02-12 01:34:19,1.04
2023-02-12 01:36:24,1.04
2023-02-12 01:38:38,0.91
2023-02-12 01:40:42,0.91
2023-02-12 01:42:51,0.84
2023-02-12 01:44:58,0.82
2023-02-12 01:47:05,0.82
2023-02-12 01:49:14,0.58
2023-02-12 01:51:22,0.53
2023-02-12 01:53:28,0.45
2023-02-12 01:55:35,0.42
2023-02-12 01:57:46,0.32
2023-02-12 01:59:52,0.19
2023-02-12 02:02:00,0.12
2023-02-12 02:04:11,0.0002
2023-02-12 02:06:21,0.0001
2023-02-12 02:08:30,0.0
2023-02-12 02:10:38,0.0
2023-02-12 02:12:46,0.0
2023-02-12 02:14:55,0.0
2023-02-12 02:17:05,0.0
2023-02-12 02:19:12,0.0
2023-02-12 02:21:20,0.0
2023-02-12 02:23:28,0.0
2023-02-12 02:26:06,0.0
2023-02-11 23:15:45,1.02
2023-02-11 23:17:47,0.99
2023-02-11 23:19:48,1.04
2023-02-11 23:21:49,1.03
2023-02-11 23:23:50,1.04
2023-02-11 23:25:51,1.04
2023-02-11 23:27:53,1.04
2023-02-11 23:29:55,1.04
2023-02-11 23:31:56,1.04
